trial_name,limb,action,timestamp,cycle_pct
0004,R,RHS,4.86,0
0004,R,RTO,5.50,0.6
0004,R,RHS,5.89,1
0009,R,RHS,3.85,0
0009,R,RTO,4.47,0.6
0009,R,RHS,4.87,1
0012,L,LHS,4.18,0
0012,L,LTO,4.82,0.6
0012,L,LHS,5.21,1
0012,R,RHS,4.69,0
0012,R,RTO,5.33,0.6
0012,R,RHS,5.74,1
0013,R,RHS,3.87,0
0013,R,RTO,4.47,0.6
0013,R,RHS,4.88,1
0014,R,RHS,4.8,0
0014,R,RTO,5.44,0.6
0014,R,RHS,5.85,1
0015,R,RHS,3.56,0
0015,R,RTO,4.18,0.6
0015,R,RHS,4.58,1
0015,L,LHS,4.05,0
0015,L,LTO,4.68,0.6
0015,L,LHS,5.08,1
0016,R,RHS,4.7,0
0016,R,RTO,5.33,0.6
0016,R,RHS,5.72,1
0017,R,RHS,3.67,0
0017,R,RTO,4.29,0.6
0017,R,RHS,4.69,1
0017,L,LHS,4.17,0
0017,L,LTO,4.79,0.6
0017,L,LHS,5.21,1
0018,L,LHS,4.25,0
0018,L,LTO,4.89,0.6
0018,L,LHS,5.31,1
0018,R,RHS,4.76,0
0018,R,RTO,5.42,0.6
0018,R,RHS,5.8,1
0019,R,RHS,3.56,0
0019,R,RTO,4.2,0.6
0019,R,RHS,4.61,1
0020,L,LHS,4.17,0
0020,L,LTO,4.79,0.6
0020,L,LHS,5.2,1
0020,R,RHS,4.67,0
0020,R,RTO,5.3,0.6
0020,R,RHS,5.68,1
0021,R,RHS,3.91,0
0021,R,RTO,4.57,0.6
0021,R,RHS,4.95,1
0021,L,LHS,4.45,0
0021,L,LTO,5.08,0.6
0021,L,LHS,5.49,1
